Valeur fonciere,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Nature culture_AG,Nature culture_BT,Nature culture_Inconnu,Nature culture_J,Nature culture_L,Nature culture_P,Nature culture_S,Nature culture_T,Nature culture_VE,Nature culture_VI,Cluster
1.31011788071988,200.0353121801433,63.87857843137255,116.19037871033775,66.38003067484662,0,1.0,Maison,1.8245559358037484,1.4605311820132316,-1.2194978933110607,False,False,False,False,False,False,True,False,False,False,3
1.1565249444759411,1.0,63.87857843137255,14.0,66.38003067484662,4,4.0,Local industriel. commercial ou assimilé,0.8337809991251105,-5.199337582605575,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,2
1.1565249444759411,1.0,63.87857843137255,14.0,66.38003067484662,4,4.0,Local industriel. commercial ou assimilé,0.1093651011617713,-5.199337582605575,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,2
-1.7502216171233853,16.0,23.3,116.19037871033775,66.38003067484662,1,4.0,Local industriel. commercial ou assimilé,2.3259724580726555,-5.199337582605575,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,2
0.4921368228083809,15.0,63.87857843137255,116.19037871033775,66.38003067484662,1,,,0.4682027026466729,0.4878930103874749,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,1
0.4921368228083809,77.0,63.87857843137255,116.19037871033775,66.38003067484662,1,,,0.4682027026466729,0.4878930103874749,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,1
0.4921368228083809,75.0,63.87857843137255,116.19037871033775,66.38003067484662,1,,,0.4682027026466729,0.4878930103874749,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,1
-1.199766005268479,7.0,63.87857843137255,116.19037871033775,66.38003067484662,1,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,0
-1.199766005268479,68.0,25.89,116.19037871033775,66.38003067484662,1,2.0,Appartement,0.1561993667421271,0.2536062084064879,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,1
0.0277278867098972,40.0,42.22,116.19037871033775,66.38003067484662,1,2.0,Appartement,0.8337809991251105,1.053106263987631,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,1
0.9362925104213348,200.0353121801433,63.87857843137255,116.19037871033775,66.38003067484662,0,1.0,Maison,1.4979965988053383,1.053106263987631,-1.111505153056493,False,False,False,False,False,False,True,False,False,False,3
0.7380888474045281,200.0353121801433,63.87857843137255,116.19037871033775,66.38003067484662,0,3.0,Dépendance,-5.199337582605575,-5.199337582605575,-1.3846282582878238,False,False,False,False,False,False,True,False,False,False,0
0.7380888474045281,200.0353121801433,63.87857843137255,116.19037871033775,66.38003067484662,0,3.0,Dépendance,-5.199337582605575,-5.199337582605575,-1.3846282582878238,False,False,False,False,False,False,True,False,False,False,0
0.7380888474045281,200.0353121801433,63.87857843137255,116.19037871033775,66.38003067484662,0,1.0,Maison,1.6492369585066662,2.0136714057663454,-1.3846282582878238,False,False,False,False,False,False,True,False,False,False,3
-0.075345349973763,17.0,78.98,8.0,66.38003067484662,2,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,0
-0.075345349973763,17.0,78.98,8.0,66.38003067484662,2,2.0,Appartement,1.2838364149068986,1.4605311820132316,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,1
-0.8589096039503576,21.0,35.66,27.0,66.38003067484662,2,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,0
-0.8589096039503576,21.0,35.66,27.0,66.38003067484662,2,2.0,Appartement,0.1093651011617713,0.2536062084064879,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,1
-0.8589096039503576,25.0,63.87857843137255,116.19037871033775,66.38003067484662,1,2.0,Appartement,-0.0171188047513554,-5.199337582605575,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,2
-1.7502216171233853,19.0,63.87857843137255,116.19037871033775,66.38003067484662,1,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,0
-1.7502216171233853,16.0,63.87857843137255,116.19037871033775,66.38003067484662,1,4.0,Local industriel. commercial ou assimilé,2.3259724580726555,-5.199337582605575,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,2
0.401995024919857,36.0,63.87857843137255,116.19037871033775,66.38003067484662,1,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,0
0.401995024919857,17.0,66.58,116.19037871033775,66.38003067484662,1,2.0,Appartement,0.9515182841460368,1.053106263987631,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,1
0.401995024919857,17.0,66.58,116.19037871033775,66.38003067484662,1,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,0
0.401995024919857,17.0,66.58,116.19037871033775,66.38003067484662,1,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,0
-1.7330708141786697,22.0,63.87857843137255,116.19037871033775,66.38003067484662,1,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.1384435380538923,False,False,True,False,False,False,False,False,False,False,0
