Valeur fonciere,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Nature culture_AG,Nature culture_BT,Nature culture_Inconnu,Nature culture_J,Nature culture_L,Nature culture_P,Nature culture_S,Nature culture_T,Nature culture_VE,Nature culture_VI
1.3101178807198801,200.0353121801433,63.87857843137255,116.19037871033777,66.38003067484662,0,1.0,Maison,1.8245559358037484,1.4605311820132316,-1.2194978933110607,False,False,False,False,False,False,True,False,False,False
1.1565249444759413,1.0,63.87857843137255,14.0,66.38003067484662,4,4.0,Local industriel. commercial ou assimilé,0.8337809991251105,-5.199337582605575,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
1.1565249444759413,1.0,63.87857843137255,14.0,66.38003067484662,4,4.0,Local industriel. commercial ou assimilé,0.10936510116177138,-5.199337582605575,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
-1.7502216171233853,16.0,23.3,116.19037871033777,66.38003067484662,1,4.0,Local industriel. commercial ou assimilé,2.3259724580726555,-5.199337582605575,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
0.49213682280838095,15.0,63.87857843137255,116.19037871033777,66.38003067484662,1,,,0.46820270264667296,0.4878930103874749,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
0.49213682280838095,77.0,63.87857843137255,116.19037871033777,66.38003067484662,1,,,0.46820270264667296,0.4878930103874749,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
0.49213682280838095,75.0,63.87857843137255,116.19037871033777,66.38003067484662,1,,,0.46820270264667296,0.4878930103874749,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
-1.1997660052684793,7.0,63.87857843137255,116.19037871033777,66.38003067484662,1,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
-1.1997660052684793,68.0,25.89,116.19037871033777,66.38003067484662,1,2.0,Appartement,0.15619936674212717,0.2536062084064879,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
0.027727886709897207,40.0,42.22,116.19037871033777,66.38003067484662,1,2.0,Appartement,0.8337809991251105,1.053106263987631,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
0.9362925104213347,200.0353121801433,63.87857843137255,116.19037871033777,66.38003067484662,0,1.0,Maison,1.4979965988053383,1.053106263987631,-1.111505153056493,False,False,False,False,False,False,True,False,False,False
0.7380888474045281,200.0353121801433,63.87857843137255,116.19037871033777,66.38003067484662,0,3.0,Dépendance,-5.199337582605575,-5.199337582605575,-1.3846282582878238,False,False,False,False,False,False,True,False,False,False
0.7380888474045281,200.0353121801433,63.87857843137255,116.19037871033777,66.38003067484662,0,3.0,Dépendance,-5.199337582605575,-5.199337582605575,-1.3846282582878238,False,False,False,False,False,False,True,False,False,False
0.7380888474045281,200.0353121801433,63.87857843137255,116.19037871033777,66.38003067484662,0,1.0,Maison,1.6492369585066662,2.0136714057663454,-1.3846282582878238,False,False,False,False,False,False,True,False,False,False
-0.07534534997376305,17.0,78.98,8.0,66.38003067484662,2,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
-0.07534534997376305,17.0,78.98,8.0,66.38003067484662,2,2.0,Appartement,1.2838364149068986,1.4605311820132316,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
-0.8589096039503576,21.0,35.66,27.0,66.38003067484662,2,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
-0.8589096039503576,21.0,35.66,27.0,66.38003067484662,2,2.0,Appartement,0.10936510116177138,0.2536062084064879,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
-0.8589096039503576,25.0,63.87857843137255,116.19037871033777,66.38003067484662,1,2.0,Appartement,-0.017118804751355455,-5.199337582605575,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
-1.7502216171233853,19.0,63.87857843137255,116.19037871033777,66.38003067484662,1,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
-1.7502216171233853,16.0,63.87857843137255,116.19037871033777,66.38003067484662,1,4.0,Local industriel. commercial ou assimilé,2.3259724580726555,-5.199337582605575,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
0.401995024919857,36.0,63.87857843137255,116.19037871033777,66.38003067484662,1,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
0.401995024919857,17.0,66.58,116.19037871033777,66.38003067484662,1,2.0,Appartement,0.9515182841460368,1.053106263987631,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
0.401995024919857,17.0,66.58,116.19037871033777,66.38003067484662,1,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
0.401995024919857,17.0,66.58,116.19037871033777,66.38003067484662,1,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
-1.7330708141786695,22.0,63.87857843137255,116.19037871033777,66.38003067484662,1,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
-0.475997790514097,85.0,31.05,9.0,66.38003067484662,2,3.0,Dépendance,-5.199337582605575,-5.199337582605575,0.13844353805389234,False,False,True,False,False,False,False,False,False,False
