Valeur fonciere,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain
"255000,00",11.0,,25.0,"23,17",2,3.0,Dépendance,0.0,0.0,,
"255000,00",24.0,"125,82",,,1,3.0,Dépendance,0.0,0.0,,
"255000,00",80.0,,,,1,3.0,Dépendance,0.0,0.0,,
"255000,00",11.0,,25.0,"23,17",2,2.0,Appartement,21.0,1.0,,
"77000,00",100.0,"11,00",,,1,3.0,Dépendance,0.0,0.0,,
"77000,00",5.0,"33,41",,,1,2.0,Appartement,34.0,1.0,,
"138900,00",5.0,"63,80",,,1,2.0,Appartement,48.0,2.0,,
"60150,00",216.0,,221.0,,2,2.0,Appartement,46.0,2.0,,
"60150,00",308.0,,,,1,3.0,Dépendance,0.0,0.0,,
"215000,00",13.0,,4.0,"93,31",2,2.0,Appartement,98.0,5.0,,
"215000,00",13.0,,4.0,"93,31",2,3.0,Dépendance,0.0,0.0,,
"215000,00",223.0,,,,1,3.0,Dépendance,0.0,0.0,,
"215000,00",329.0,,,,1,3.0,Dépendance,0.0,0.0,,
"233000,00",3.0,,,,1,,,,,,
"233000,00",12.0,,,,1,,,,,,
"233000,00",20.0,,,,1,,,,,,
,,,,,0,,,,,J,24.0
,,,,,0,,,,,J,5.0
,,,,,0,,,,,L,630.0
,,,,,0,,,,,L,8.0
"5000,00",43.0,,,,1,4.0,Local industriel. commercial ou assimilé,10.0,0.0,,
"14000,00",,,,,0,,,,,J,380.0
"14000,00",,,,,0,,,,,L,151.0
"14000,00",,,,,0,,,,,L,201.0
"14000,00",,,,,0,,,,,L,83.0
"180000,00",,,,,0,,,,,J,222.0
"180000,00",,,,,0,,,,,J,668.0
"180000,00",,,,,0,,,,,J,104.0
"180000,00",,,,,0,,,,,J,246.0
"180000,00",,,,,0,,,,,J,104.0
"15000,00",,,,,0,,,,,S,18.0
"165000,00",10.0,"69,26",18.0,,4,3.0,Dépendance,0.0,0.0,,
"165000,00",10.0,"69,26",18.0,,4,2.0,Appartement,69.0,3.0,,
"165000,00",10.0,"69,26",18.0,,4,3.0,Dépendance,0.0,0.0,,
"95000,00",105.0,"75,15",,,1,4.0,Local industriel. commercial ou assimilé,71.0,0.0,,
"62010,00",52.0,"21,42",,,1,2.0,Appartement,19.0,1.0,,
"62010,00",50.0,,,,1,2.0,Appartement,1.0,0.0,,
"62010,00",29.0,,,,1,3.0,Dépendance,0.0,0.0,,
"15000,00",539.0,,,,1,3.0,Dépendance,0.0,0.0,,
"90000,00",28.0,,,,1,2.0,Appartement,36.0,2.0,,
"103000,00",278.0,"61,11",,,1,2.0,Appartement,61.0,3.0,,
"103000,00",27.0,,,,1,3.0,Dépendance,0.0,0.0,,
"103000,00",411.0,,,,1,3.0,Dépendance,0.0,0.0,,
"125650,00",191.0,"48,19",60.0,,2,2.0,Appartement,48.0,2.0,,
"125650,00",191.0,"48,19",60.0,,2,3.0,Dépendance,0.0,0.0,,
"125650,00",116.0,,,,1,3.0,Dépendance,0.0,0.0,,
"70000,00",3.0,,,,1,2.0,Appartement,23.0,2.0,,
"107000,00",23.0,,31.0,,2,2.0,Appartement,54.0,2.0,,
"107000,00",23.0,,31.0,,2,3.0,Dépendance,0.0,0.0,,
"12000,00",2.0,,,,1,3.0,Dépendance,0.0,0.0,,
"120000,00",24.0,"41,81",,,1,3.0,Dépendance,0.0,0.0,,
"120000,00",24.0,"41,81",,,1,2.0,Appartement,40.0,1.0,,
"120000,00",207.0,,,,1,3.0,Dépendance,0.0,0.0,,
"120000,00",36.0,,,,1,3.0,Dépendance,0.0,0.0,,
"113000,00",56.0,"67,10",,,1,4.0,Local industriel. commercial ou assimilé,74.0,0.0,,
"20000,00",166.0,,,,1,3.0,Dépendance,0.0,0.0,,
"215000,00",56.0,"65,48",,,1,2.0,Appartement,50.0,2.0,,
"215000,00",153.0,,,,1,3.0,Dépendance,0.0,0.0,,
"215000,00",101.0,,105.0,,2,2.0,Appartement,62.0,2.0,,
"153000,00",101.0,,103.0,"65,15",3,3.0,Dépendance,0.0,0.0,,
"153000,00",101.0,,103.0,"65,15",3,3.0,Dépendance,0.0,0.0,,
"153000,00",101.0,,103.0,"65,15",3,2.0,Appartement,50.0,2.0,,
"155000,00",12.0,"74,37",44.0,,3,4.0,Local industriel. commercial ou assimilé,60.0,0.0,,
"155000,00",45.0,,,,1,2.0,Appartement,28.0,1.0,,
"155000,00",43.0,,,,1,3.0,Dépendance,0.0,0.0,,
"16000,00",37.0,,39.0,,2,2.0,Appartement,55.0,2.0,,
"16000,00",37.0,,39.0,,2,3.0,Dépendance,0.0,0.0,,
"16000,00",4.0,,,,1,3.0,Dépendance,0.0,0.0,,
"85860,00",20.0,,,,1,2.0,Appartement,90.0,5.0,,
"85860,00",46.0,,,,1,3.0,Dépendance,0.0,0.0,,
"513600,00",21.0,,36.0,,3,3.0,Dépendance,0.0,0.0,,
"513600,00",21.0,,36.0,,3,2.0,Appartement,167.0,6.0,,
"513600,00",21.0,,36.0,,3,3.0,Dépendance,0.0,0.0,,
"117000,00",141.0,,146.0,,2,2.0,Appartement,62.0,3.0,,
"117000,00",128.0,,,,1,3.0,Dépendance,0.0,0.0,,
"312000,00",39.0,,,,1,3.0,Dépendance,0.0,0.0,,
"312000,00",47.0,,,,1,3.0,Dépendance,0.0,0.0,,
"312000,00",67.0,"73,30",,,1,2.0,Appartement,73.0,3.0,,
"137000,00",46.0,"37,49",47.0,,11,2.0,Appartement,55.0,1.0,,
"192000,00",10.0,,14.0,"86,80",2,3.0,Dépendance,0.0,0.0,,
"192000,00",10.0,,14.0,"86,80",2,2.0,Appartement,87.0,4.0,,
"192000,00",45.0,,,,1,3.0,Dépendance,0.0,0.0,,
"165000,00",17.0,,,,1,3.0,Dépendance,0.0,0.0,,
"165000,00",22.0,"82,83",24.0,,2,2.0,Appartement,82.0,3.0,,
"165000,00",21.0,"9,60",,,1,3.0,Dépendance,0.0,0.0,,
"45000,00",496.0,,506.0,"20,79",2,3.0,Dépendance,0.0,0.0,,
"45000,00",496.0,,506.0,"20,79",2,2.0,Appartement,20.0,1.0,,
"300000,00",20.0,,,,1,4.0,Local industriel. commercial ou assimilé,10.0,0.0,,
"300000,00",1.0,"268,00",,,1,4.0,Local industriel. commercial ou assimilé,250.0,0.0,,
"38000,00",12.0,"15,24",,,1,2.0,Appartement,17.0,1.0,,
"132195,00",68.0,,9.0,"62,68",2,2.0,Appartement,63.0,3.0,,
"132195,00",49.0,,,,1,3.0,Dépendance,0.0,0.0,,
"132195,00",68.0,,9.0,"62,68",2,3.0,Dépendance,0.0,0.0,,
"157000,00",6.0,"58,65",,,1,2.0,Appartement,57.0,3.0,,
"6200,00",78.0,,,,1,3.0,Dépendance,0.0,0.0,,
"150000,00",37.0,,,,1,2.0,Appartement,6.0,0.0,,
"150000,00",35.0,"55,71",,,1,2.0,Appartement,60.0,3.0,,
"12000,00",2003.0,,,,1,,,,,,
"12000,00",2002.0,,,,1,,,,,,
"132000,00",27.0,"49,03",8.0,,2,3.0,Dépendance,0.0,0.0,,
"132000,00",27.0,"49,03",8.0,,2,2.0,Appartement,51.0,2.0,,
"5850,00",2016.0,,,,1,,,,,,
