Valeur fonciere,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain
"83000,00",107.0,,83.0,,3,3.0,Dépendance,0.0,0.0,,
"83000,00",163.0,,,,1,3.0,Dépendance,0.0,0.0,,
"83000,00",107.0,,83.0,,3,2.0,Appartement,62.0,3.0,,
"13000,00",817.0,,,,1,3.0,Dépendance,0.0,0.0,,
"170000,00",154.0,,,,1,3.0,Dépendance,0.0,0.0,,
"170000,00",12.0,,30.0,,2,3.0,Dépendance,0.0,0.0,,
"170000,00",12.0,,30.0,,2,2.0,Appartement,74.0,4.0,,
"3500,00",1.0,,,,1,3.0,Dépendance,0.0,0.0,,
"165000,00",16.0,"69,05",21.0,,2,3.0,Dépendance,0.0,0.0,,
"165000,00",16.0,"69,05",21.0,,2,2.0,Appartement,80.0,2.0,,
"93500,00",270.0,,280.0,"62,96",2,2.0,Appartement,68.0,4.0,,
"93500,00",270.0,,280.0,"62,96",2,3.0,Dépendance,0.0,0.0,,
"15000,00",2112.0,,,,1,,,,,,
"12500,00",2105.0,,,,1,,,,,,
"15000,00",2113.0,,,,1,,,,,,
"15000,00",2070.0,,,,1,,,,,,
"15000,00",2108.0,,,,1,,,,,,
"12500,00",2080.0,,,,1,,,,,,
"176500,00",69.0,,79.0,"84,56",2,2.0,Appartement,84.0,4.0,,
"176500,00",127.0,,,,1,3.0,Dépendance,0.0,0.0,,
"176500,00",69.0,,79.0,"84,56",2,3.0,Dépendance,0.0,0.0,,
"70500,00",14.0,,62.0,,2,3.0,Dépendance,0.0,0.0,,
"70500,00",14.0,,62.0,,2,2.0,Appartement,27.0,1.0,,
"76850,00",11.0,"26,45",12.0,,2,2.0,Appartement,28.0,2.0,,
"195500,00",28.0,,73.0,,2,3.0,Dépendance,0.0,0.0,,
"195500,00",28.0,,73.0,,2,2.0,Appartement,87.0,3.0,,
"186000,00",34.0,,,,1,3.0,Dépendance,0.0,0.0,,
"186000,00",106.0,,141.0,,2,3.0,Dépendance,0.0,0.0,,
"186000,00",106.0,,141.0,,2,2.0,Appartement,65.0,3.0,,
"82500,00",162.0,,172.0,,2,3.0,Dépendance,0.0,0.0,,
"82500,00",162.0,,172.0,,2,2.0,Appartement,75.0,4.0,,
"180000,00",,,,,0,1.0,Maison,68.0,4.0,J,514.0
"180000,00",,,,,0,1.0,Maison,68.0,4.0,S,206.0
"400000,00",100.0,"5,23",101.0,"102,13",17,4.0,Local industriel. commercial ou assimilé,271.0,0.0,,
"98500,00",51.0,"55,51",,,1,4.0,Local industriel. commercial ou assimilé,72.0,0.0,,
"98500,00",220.0,,,,1,4.0,Local industriel. commercial ou assimilé,10.0,0.0,,
"138500,00",10.0,,14.0,"60,54",2,3.0,Dépendance,0.0,0.0,,
"138500,00",10.0,,14.0,"60,54",2,2.0,Appartement,60.0,2.0,,
"153000,00",49.0,,,,1,3.0,Dépendance,0.0,0.0,,
"153000,00",24.0,"68,88",,,1,2.0,Appartement,68.0,3.0,,
"153000,00",19.0,,,,1,3.0,Dépendance,0.0,0.0,,
"137000,00",2.0,,21.0,"59,86",2,2.0,Appartement,56.0,2.0,,
"137000,00",2.0,,21.0,"59,86",2,3.0,Dépendance,0.0,0.0,,
"111000,00",39.0,,73.0,"39,29",2,2.0,Appartement,38.0,2.0,,
"111000,00",7.0,,,,1,3.0,Dépendance,0.0,0.0,,
"111000,00",39.0,,73.0,"39,29",2,3.0,Dépendance,0.0,0.0,,
"275000,00",1.0,"104,27",10.0,,5,2.0,Appartement,75.0,3.0,,
"275000,00",1.0,"104,27",10.0,,5,3.0,Dépendance,0.0,0.0,,
"275000,00",9.0,,,,1,3.0,Dépendance,0.0,0.0,,
"128000,00",40.0,,58.0,"56,91",2,2.0,Appartement,57.0,3.0,,
"128000,00",40.0,,58.0,"56,91",2,3.0,Dépendance,0.0,0.0,,
"135900,00",61.0,"75,76",62.0,,2,2.0,Appartement,80.0,4.0,,
"135900,00",61.0,"75,76",62.0,,2,3.0,Dépendance,0.0,0.0,,
"25000,00",16.0,,,,1,3.0,Dépendance,0.0,0.0,,
"25000,00",15.0,,,,1,3.0,Dépendance,0.0,0.0,,
"25000,00",14.0,,,,1,3.0,Dépendance,0.0,0.0,,
"85000,00",1.0,,10.0,,3,4.0,Local industriel. commercial ou assimilé,62.0,0.0,,
"85000,00",3.0,,,,1,3.0,Dépendance,0.0,0.0,,
"65000,00",15.0,,,,1,2.0,Appartement,20.0,1.0,,
"140000,00",36.0,"44,66",,,1,2.0,Appartement,44.0,2.0,,
"140000,00",107.0,,,,1,3.0,Dépendance,0.0,0.0,,
"338399,00",,,,,0,1.0,Maison,95.0,4.0,S,411.0
"82000,00",10.0,,,,1,3.0,Dépendance,0.0,0.0,,
"82000,00",7.0,,,,1,3.0,Dépendance,0.0,0.0,,
"82000,00",6.0,"66,26",,,1,2.0,Appartement,58.0,2.0,,
"30000,00",55.0,"20,96",,,1,4.0,Local industriel. commercial ou assimilé,24.0,0.0,,
"205700,00",513.0,"72,26",,,1,2.0,Appartement,72.0,3.0,,
"205700,00",405.0,,,,1,3.0,Dépendance,0.0,0.0,,
"3500,00",25.0,,,,1,3.0,Dépendance,0.0,0.0,,
"193000,00",95.0,,,,1,3.0,Dépendance,0.0,0.0,,
"193000,00",21.0,,,,1,2.0,Appartement,48.0,2.0,,
"262000,00",73.0,,,,1,,,,,,
"262000,00",801.0,,,,1,,,,,,
"262000,00",71.0,,,,1,,,,,,
"12500,00",2082.0,,,,1,,,,,,
"6000,00",2018.0,,,,1,,,,,,
"15000,00",2065.0,,,,1,,,,,,
"6000,00",2020.0,,,,1,,,,,,
"21000,00",2066.0,,,,1,,,,,,
"21000,00",2014.0,,,,1,,,,,,
"15000,00",2064.0,,,,1,,,,,,
"95000,00",195.0,,214.0,"35,44",2,4.0,Local industriel. commercial ou assimilé,36.0,0.0,,
"425615,00",,,,,0,1.0,Maison,111.0,6.0,S,111.0
"425615,00",136.0,,,,1,3.0,Dépendance,0.0,0.0,,
"150000,00",12.0,,,,1,3.0,Dépendance,0.0,0.0,,
"150000,00",10.0,"43,33",,,1,2.0,Appartement,43.0,2.0,,
"110500,00",51.0,,,,1,3.0,Dépendance,0.0,0.0,,
"110500,00",6.0,"32,37",,,1,2.0,Appartement,32.0,1.0,,
"43000,00",102.0,"18,00",,,1,4.0,Local industriel. commercial ou assimilé,17.0,0.0,,
"199500,00",68.0,,,,1,3.0,Dépendance,0.0,0.0,,
"199500,00",13.0,"64,00",,,1,2.0,Appartement,64.0,3.0,,
"250000,00",32.0,,,,1,3.0,Dépendance,0.0,0.0,,
"250000,00",18.0,,64.0,"84,64",2,2.0,Appartement,84.0,4.0,,
"250000,00",18.0,,64.0,"84,64",2,3.0,Dépendance,0.0,0.0,,
"15000,00",2110.0,,,,1,,,,,,
"6000,00",2022.0,,,,1,,,,,,
"13500,00",25.0,,,,1,3.0,Dépendance,0.0,0.0,,
"158700,00",112.0,"81,62",114.0,,3,2.0,Appartement,83.0,6.0,,
"158700,00",112.0,"81,62",114.0,,3,3.0,Dépendance,0.0,0.0,,
"158700,00",112.0,"81,62",114.0,,3,3.0,Dépendance,0.0,0.0,,
"64500,00",26.0,"30,86",,,1,2.0,Appartement,33.0,1.0,,
"90000,00",11.0,,12.0,,2,3.0,Dépendance,0.0,0.0,,
"90000,00",11.0,,12.0,,2,2.0,Appartement,67.0,3.0,,
"90000,00",221.0,,,,1,3.0,Dépendance,0.0,0.0,,
"140000,00",203.0,,204.0,"74,07",2,2.0,Appartement,66.0,4.0,,
"140000,00",203.0,,204.0,"74,07",2,3.0,Dépendance,0.0,0.0,,
"80000,00",125.0,,171.0,"56,49",2,2.0,Appartement,57.0,3.0,,
"80000,00",125.0,,171.0,"56,49",2,3.0,Dépendance,0.0,0.0,,
"148000,00",164.0,,,,1,3.0,Dépendance,0.0,0.0,,
"148000,00",37.0,,53.0,"76,55",2,3.0,Dépendance,0.0,0.0,,
"148000,00",37.0,,53.0,"76,55",2,2.0,Appartement,87.0,4.0,,
"6000,00",2010.0,,,,1,,,,,,
"67000,00",3.0,"39,14",,,1,2.0,Appartement,22.0,1.0,,
"67000,00",3.0,"39,14",,,1,3.0,Dépendance,0.0,0.0,,
"236550,00",19.0,,20.0,,2,2.0,Appartement,113.0,2.0,,
"236550,00",8.0,,,,1,3.0,Dépendance,0.0,0.0,,
"236550,00",5.0,,,,1,3.0,Dépendance,0.0,0.0,,
"141350,00",201.0,,,,1,3.0,Dépendance,0.0,0.0,,
"141350,00",102.0,"68,76",103.0,,2,3.0,Dépendance,0.0,0.0,,
"141350,00",102.0,"68,76",103.0,,2,2.0,Appartement,68.0,4.0,,
"135000,00",29.0,"81,44",,,1,2.0,Appartement,81.0,4.0,,
"303000,00",137.0,,155.0,"97,04",2,3.0,Dépendance,0.0,0.0,,
"303000,00",82.0,,,,1,3.0,Dépendance,0.0,0.0,,
"303000,00",137.0,,155.0,"97,04",2,2.0,Appartement,100.0,5.0,,
"246700,00",204.0,,,,1,3.0,Dépendance,0.0,0.0,,
"246700,00",105.0,,111.0,"82,80",2,3.0,Dépendance,0.0,0.0,,
"246700,00",206.0,,,,1,3.0,Dépendance,0.0,0.0,,
"246700,00",108.0,,,,1,3.0,Dépendance,0.0,0.0,,
"246700,00",105.0,,111.0,"82,80",2,2.0,Appartement,90.0,4.0,,
"130000,00",1074.0,,,,1,3.0,Dépendance,0.0,0.0,,
"130000,00",1044.0,"59,25",,,1,2.0,Appartement,68.0,3.0,,
"130000,00",1012.0,,,,1,3.0,Dépendance,0.0,0.0,,
"119382,00",134.0,,234.0,,3,2.0,Appartement,64.0,4.0,,
"119382,00",134.0,,234.0,,3,3.0,Dépendance,0.0,0.0,,
"119382,00",134.0,,234.0,,3,3.0,Dépendance,0.0,0.0,,
"20000,00",209.0,"31,33",,,1,2.0,Appartement,33.0,1.0,,
"1,00",,,,,0,,,,,S,111.0
"205697,00",72.0,,,,1,,,,,,
"205697,00",82.0,,,,1,,,,,,
"272300,00",,,,,0,,,,,S,196.0
"120000,00",25.0,,57.0,,2,2.0,Appartement,64.0,4.0,,
"120000,00",199.0,,,,1,3.0,Dépendance,0.0,0.0,,
"120000,00",25.0,,57.0,,2,3.0,Dépendance,0.0,0.0,,
"70000,00",5.0,,,,1,2.0,Appartement,24.0,1.0,,
"201500,00",108.0,,119.0,,2,3.0,Dépendance,0.0,0.0,,
"201500,00",108.0,,119.0,,2,2.0,Appartement,77.0,2.0,,
"164100,00",81.0,,,,1,3.0,Dépendance,0.0,0.0,,
"164100,00",39.0,,,,1,3.0,Dépendance,0.0,0.0,,
"164100,00",58.0,,,,1,2.0,Appartement,66.0,3.0,,
"3500,00",9.0,,,,1,3.0,Dépendance,0.0,0.0,,
"175150,00",10.0,,33.0,,2,2.0,Appartement,46.0,2.0,,
"175150,00",10.0,,33.0,,2,3.0,Dépendance,0.0,0.0,,
"175150,00",20.0,,,,1,3.0,Dépendance,0.0,0.0,,
"67500,00",140.0,,,,1,2.0,Appartement,33.0,2.0,,
"62000,00",111.0,,127.0,"58,87",2,2.0,Appartement,62.0,3.0,,
"62000,00",111.0,,127.0,"58,87",2,3.0,Dépendance,0.0,0.0,,
"113500,00",107.0,,83.0,,3,2.0,Appartement,62.0,3.0,,
"113500,00",107.0,,83.0,,3,3.0,Dépendance,0.0,0.0,,
"113500,00",163.0,,,,1,3.0,Dépendance,0.0,0.0,,
"113500,00",107.0,,83.0,,3,3.0,Dépendance,0.0,0.0,,
"319300,00",10.0,,,,1,3.0,Dépendance,0.0,0.0,,
"319300,00",,,,,0,3.0,Dépendance,0.0,0.0,S,185.0
"319300,00",,,,,0,1.0,Maison,60.0,4.0,S,185.0
"6000,00",66.0,,,,1,3.0,Dépendance,0.0,0.0,,
"88000,00",12.0,"62,68",15.0,,2,3.0,Dépendance,0.0,0.0,,
"88000,00",12.0,"62,68",15.0,,2,2.0,Appartement,55.0,4.0,,
"155000,00",4.0,,55.0,,2,3.0,Dépendance,0.0,0.0,,
"155000,00",4.0,,55.0,,2,2.0,Appartement,77.0,5.0,,
"155000,00",358.0,,,,1,3.0,Dépendance,0.0,0.0,,
"155000,00",4.0,,55.0,,2,3.0,Dépendance,0.0,0.0,,
"22000,00",13.0,,,,1,3.0,Dépendance,0.0,0.0,,
"215000,00",,,,,0,1.0,Maison,90.0,4.0,S,782.0
"97300,00",,,,,0,,,,,P,700.0
"5500,00",39.0,,,,1,3.0,Dépendance,0.0,0.0,,
"30705,00",,,,,0,,,,,BT,445.0
"115000,00",120.0,,139.0,"49,75",2,2.0,Appartement,50.0,2.0,,
"115000,00",120.0,,139.0,"49,75",2,3.0,Dépendance,0.0,0.0,,
"1,00",215.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1,00",214.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1,00",213.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1,00",212.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1,00",211.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1,00",220.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1,00",219.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1,00",218.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1,00",217.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1,00",210.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1,00",209.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1,00",208.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1,00",216.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1900000,00",131.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",146.0,,,,1,4.0,Local industriel. commercial ou assimilé,14.0,0.0,,
"1900000,00",147.0,,,,1,4.0,Local industriel. commercial ou assimilé,14.0,0.0,,
"1900000,00",117.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",150.0,,,,1,4.0,Local industriel. commercial ou assimilé,14.0,0.0,,
"1900000,00",197.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1900000,00",198.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1900000,00",199.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1900000,00",200.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1900000,00",16.0,"147,07",,,1,4.0,Local industriel. commercial ou assimilé,1077.0,0.0,,
"1900000,00",151.0,,,,1,4.0,Local industriel. commercial ou assimilé,14.0,0.0,,
"1900000,00",158.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1900000,00",171.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1900000,00",172.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1900000,00",173.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1900000,00",174.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1900000,00",118.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",175.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"1900000,00",144.0,,,,1,4.0,Local industriel. commercial ou assimilé,14.0,0.0,,
"1900000,00",134.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",119.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",120.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",129.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",130.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",133.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",132.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",145.0,,,,1,4.0,Local industriel. commercial ou assimilé,14.0,0.0,,
"1900000,00",112.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",106.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",114.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",113.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",111.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",110.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",115.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",28.0,"833,04",4.0,"72,94",6,4.0,Local industriel. commercial ou assimilé,5432.0,0.0,,
"1900000,00",107.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"1900000,00",116.0,,,,1,4.0,Local industriel. commercial ou assimilé,13.0,0.0,,
"150000,00",14.0,"84,57",28.0,,3,2.0,Appartement,98.0,4.0,,
"150000,00",14.0,"84,57",28.0,,3,3.0,Dépendance,0.0,0.0,,
"150000,00",14.0,"84,57",28.0,,3,3.0,Dépendance,0.0,0.0,,
"150000,00",14.0,"84,57",28.0,,3,3.0,Dépendance,0.0,0.0,,
"125400,00",173.0,"66,19",174.0,,2,3.0,Dépendance,0.0,0.0,,
"125400,00",173.0,"66,19",174.0,,2,2.0,Appartement,65.0,4.0,,
"85000,00",9.0,"48,22",,,1,2.0,Appartement,27.0,1.0,,
"85000,00",1.0,"48,22",,,1,2.0,Appartement,56.0,2.0,,
"85000,00",2.0,"48,22",3.0,,2,2.0,Appartement,45.0,1.0,,
"134740,00",53.0,,71.0,"50,41",4,2.0,Appartement,49.0,2.0,,
"134740,00",53.0,,71.0,"50,41",4,3.0,Dépendance,0.0,0.0,,
"134740,00",163.0,,,,1,3.0,Dépendance,0.0,0.0,,
"134740,00",27.0,,,,1,3.0,Dépendance,0.0,0.0,,
"462250,00",230.0,,249.0,"113,74",2,3.0,Dépendance,0.0,0.0,,
"462250,00",230.0,,249.0,"113,74",2,2.0,Appartement,121.0,4.0,,
"462250,00",463.0,,,,1,3.0,Dépendance,0.0,0.0,,
"462250,00",462.0,,,,1,3.0,Dépendance,0.0,0.0,,
"141200,00",3.0,"78,12",50.0,,2,2.0,Appartement,54.0,2.0,,
"141200,00",3.0,"78,12",50.0,,2,3.0,Dépendance,0.0,0.0,,
"160000,00",,,,,0,3.0,Dépendance,0.0,0.0,S,358.0
"160000,00",,,,,0,1.0,Maison,68.0,4.0,S,358.0
"1845,00",,,,,0,,,,,T,41.0
"45000,00",41.0,"63,55",42.0,,2,2.0,Appartement,61.0,4.0,,
"45000,00",41.0,"63,55",42.0,,2,3.0,Dépendance,0.0,0.0,,
"45000,00",41.0,"63,55",42.0,,2,3.0,Dépendance,0.0,0.0,,
"23800,00",,,,,0,,,,,S,476.0
"84600,00",125.0,"23,53",,,1,2.0,Appartement,23.0,1.0,,
"84600,00",125.0,"23,53",,,1,3.0,Dépendance,0.0,0.0,,
"84600,00",30.0,,,,1,3.0,Dépendance,0.0,0.0,,
"11700,00",,,,,0,,,,,S,234.0
"19000,00",112.0,"15,00",,,1,3.0,Dépendance,0.0,0.0,,
"52550,00",18.0,"17,06",,,1,2.0,Appartement,21.0,1.0,,
"110400,00",14.0,,15.0,,4,2.0,Appartement,52.0,2.0,,
"63000,00",3.0,,,,1,3.0,Dépendance,0.0,0.0,,
"63000,00",7.0,"49,98",,,1,2.0,Appartement,49.0,2.0,,
"6000,00",2021.0,,,,1,,,,,,
"12500,00",2079.0,,,,1,,,,,,
"15000,00",2063.0,,,,1,,,,,,
"12500,00",2102.0,,,,1,,,,,,
"111000,00",5.0,,,,1,3.0,Dépendance,0.0,0.0,,
"111000,00",12.0,,7.0,,2,3.0,Dépendance,0.0,0.0,,
"111000,00",12.0,,7.0,,2,2.0,Appartement,65.0,4.0,,
"12500,00",2074.0,,,,1,,,,,,
"95000,00",1.0,,101.0,,3,4.0,Local industriel. commercial ou assimilé,68.0,0.0,,
"21000,00",67.0,,,,1,3.0,Dépendance,0.0,0.0,,
"21000,00",30.0,,,,1,3.0,Dépendance,0.0,0.0,,
"21000,00",31.0,,,,1,3.0,Dépendance,0.0,0.0,,
"12500,00",2059.0,,,,1,,,,,,
"12500,00",2076.0,,,,1,,,,,,
"15000,00",2114.0,,,,1,,,,,,
"15000,00",2106.0,,,,1,,,,,,
"12500,00",2092.0,,,,1,,,,,,
"19000,00",16.0,,,,1,3.0,Dépendance,0.0,0.0,,
"10500,00",91.0,,,,1,3.0,Dépendance,0.0,0.0,,
"176970,00",107.0,,177.0,,3,3.0,Dépendance,0.0,0.0,,
"176970,00",107.0,,177.0,,3,3.0,Dépendance,0.0,0.0,,
"176970,00",107.0,,177.0,,3,2.0,Appartement,87.0,5.0,,
"176970,00",211.0,,,,1,3.0,Dépendance,0.0,0.0,,
"176970,00",107.0,,177.0,,3,3.0,Dépendance,0.0,0.0,,
"340000,00",,,,,0,4.0,Local industriel. commercial ou assimilé,562.0,0.0,S,1500.0
"24000,00",145.0,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,
"175000,00",22.0,,59.0,"92,54",2,2.0,Appartement,83.0,4.0,,
"175000,00",95.0,,,,1,3.0,Dépendance,0.0,0.0,,
"175000,00",22.0,,59.0,"92,54",2,3.0,Dépendance,0.0,0.0,,
"129000,00",443.0,"91,28",465.0,,2,2.0,Appartement,90.0,5.0,,
"129000,00",443.0,"91,28",465.0,,2,3.0,Dépendance,0.0,0.0,,
"129000,00",815.0,,,,1,3.0,Dépendance,0.0,0.0,,
"195500,00",26.0,"75,25",6.0,,2,2.0,Appartement,80.0,3.0,,
"195500,00",34.0,,,,1,3.0,Dépendance,0.0,0.0,,
"195500,00",26.0,"75,25",6.0,,2,3.0,Dépendance,0.0,0.0,,
,,,,,0,,,,,P,1623.0
,,,,,0,,,,,S,2383.0
,,,,,0,,,,,S,731.0
,,,,,0,2.0,Appartement,90.0,4.0,,
,,,,,0,2.0,Appartement,54.0,2.0,,
,,,,,0,2.0,Appartement,116.0,6.0,,
,,,,,0,2.0,Appartement,95.0,4.0,,
,,,,,0,2.0,Appartement,78.0,4.0,,
,,,,,0,2.0,Appartement,112.0,4.0,,
,,,,,0,2.0,Appartement,96.0,4.0,,
,,,,,0,2.0,Appartement,126.0,6.0,,
"121500,00",448.0,"67,89",449.0,,3,3.0,Dépendance,0.0,0.0,,
"121500,00",831.0,,,,1,3.0,Dépendance,0.0,0.0,,
"121500,00",448.0,"67,89",449.0,,3,2.0,Appartement,68.0,3.0,,
"121500,00",448.0,"67,89",449.0,,3,3.0,Dépendance,0.0,0.0,,
"75000,00",11.0,,15.0,"33,84",2,3.0,Dépendance,0.0,0.0,,
"75000,00",11.0,,15.0,"33,84",2,2.0,Appartement,32.0,1.0,,
"70000,00",22.0,,50.0,"61,27",2,3.0,Dépendance,0.0,0.0,,
"70000,00",22.0,,50.0,"61,27",2,2.0,Appartement,60.0,4.0,,
"77000,00",140.0,,,,1,2.0,Appartement,33.0,2.0,,
"12000,00",24.0,,,,1,3.0,Dépendance,0.0,0.0,,
"137000,00",,,,,0,,,,,P,700.0
"137000,00",,,,,0,,,,,BT,405.0
"118000,00",41.0,"35,11",,,1,2.0,Appartement,23.0,1.0,,
"118000,00",40.0,,,,1,2.0,Appartement,15.0,1.0,,
"21000,00",2116.0,,,,1,,,,,,
"21000,00",2006.0,,,,1,,,,,,
"6000,00",2013.0,,,,1,,,,,,
"98120,00",10.0,,58.0,"45,73",2,2.0,Appartement,47.0,2.0,,
"98120,00",10.0,,58.0,"45,73",2,3.0,Dépendance,0.0,0.0,,
"6000,00",2004.0,,,,1,,,,,,
"290000,00",,,,,0,1.0,Maison,88.0,5.0,S,800.0
"290000,00",,,,,0,3.0,Dépendance,0.0,0.0,S,800.0
"290000,00",,,,,0,,,,,J,1305.0
"12500,00",2061.0,,,,1,,,,,,
"105000,00",189.0,"38,97",,,1,3.0,Dépendance,0.0,0.0,,
"105000,00",189.0,"38,97",,,1,2.0,Appartement,182.0,7.0,,
"99000,00",,,,,0,,,,,S,463.0
"65000,00",17.0,,37.0,"29,25",2,3.0,Dépendance,0.0,0.0,,
"65000,00",80.0,,,,1,3.0,Dépendance,0.0,0.0,,
"65000,00",17.0,,37.0,"29,25",2,2.0,Appartement,29.0,1.0,,
"122000,00",103.0,"59,22",104.0,,2,2.0,Appartement,57.0,3.0,,
"122000,00",103.0,"59,22",104.0,,2,3.0,Dépendance,0.0,0.0,,
"136400,00",49.0,,,,1,3.0,Dépendance,0.0,0.0,,
"136400,00",16.0,"85,77",17.0,,2,2.0,Appartement,86.0,4.0,,
"136400,00",16.0,"85,77",17.0,,2,3.0,Dépendance,0.0,0.0,,
"124750,00",106.0,"45,89",33.0,,2,3.0,Dépendance,0.0,0.0,,
"124750,00",106.0,"45,89",33.0,,2,2.0,Appartement,46.0,2.0,,
"202950,00",22.0,,,,1,3.0,Dépendance,0.0,0.0,,
"202950,00",23.0,,,,1,3.0,Dépendance,0.0,0.0,,
"202950,00",21.0,,,,1,3.0,Dépendance,0.0,0.0,,
"202950,00",1.0,,11.0,,3,2.0,Appartement,94.0,3.0,,
"505760,00",131.0,,,,1,3.0,Dépendance,0.0,0.0,,
"505760,00",19.0,,,,1,4.0,Local industriel. commercial ou assimilé,30.0,0.0,,
"505760,00",129.0,,,,1,3.0,Dépendance,0.0,0.0,,
"505760,00",130.0,,,,1,3.0,Dépendance,0.0,0.0,,
"505760,00",128.0,,,,1,3.0,Dépendance,0.0,0.0,,
"505760,00",,,,,0,2.0,Appartement,35.0,2.0,S,346.0
"505760,00",,,,,0,2.0,Appartement,56.0,1.0,S,346.0
"505760,00",,,,,0,2.0,Appartement,42.0,2.0,S,346.0
"505760,00",,,,,0,4.0,Local industriel. commercial ou assimilé,95.0,0.0,S,346.0
"505760,00",,,,,0,2.0,Appartement,51.0,2.0,S,346.0
"505760,00",,,,,0,,,,,S,118.0
"75950,00",20.0,"87,28",58.0,,2,2.0,Appartement,90.0,5.0,,
"75950,00",20.0,"87,28",58.0,,2,3.0,Dépendance,0.0,0.0,,
"138000,00",146.0,"45,24",,,1,2.0,Appartement,45.0,2.0,,
"130000,00",25.0,,,,1,3.0,Dépendance,0.0,0.0,,
"130000,00",18.0,"74,95",,,1,2.0,Appartement,73.0,4.0,,
"130000,00",4.0,,,,1,3.0,Dépendance,0.0,0.0,,
"130000,00",12.0,,,,1,3.0,Dépendance,0.0,0.0,,
"106450,00",225.0,"60,46",226.0,,3,3.0,Dépendance,0.0,0.0,,
"106450,00",225.0,"60,46",226.0,,3,2.0,Appartement,60.0,4.0,,
"106450,00",225.0,"60,46",226.0,,3,3.0,Dépendance,0.0,0.0,,
"69150,00",55.0,"26,52",56.0,,2,3.0,Dépendance,0.0,0.0,,
